timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,2.0,0.0
1,2,0.005,2.5,0.0
2,0,2.055,137.5,1603.5
2,2,0.24333333333333332,33.666666666666664,1023.3333333333334
3,0,2.195,193.5,46.5
3,2,0.26249999999999996,60.5,0.0
4,0,2.15,180.0,1291.5
4,2,0.2,51.5,0.0
5,0,2.13,198.5,2502.0
5,2,0.24,57.25,0.0
6,0,2.06,188.0,477.0
6,2,0.24,55.0,0.0
7,0,2.1399999999999997,186.0,46.5
7,2,0.2575,62.5,2.75
8,0,2.06,188.0,0.0
8,2,0.195,48.75,79.0
9,0,2.065,196.0,46.5
9,2,0.25,57.75,0.0
10,0,2.07,195.5,377.0
10,2,0.2125,56.5,1.5
11,0,2.135,194.0,303.0
11,2,0.2525,58.25,0.0
12,0,2.1399999999999997,190.5,4606.0
12,2,0.245,56.5,3.5
13,0,2.29,188.5,46.5
13,2,0.235,54.75,0.0
14,0,2.205,189.0,46.5
14,2,0.2325,59.25,0.0
15,0,2.2,191.0,46.5
15,2,0.24,60.75,1.5
16,0,2.13,198.0,3679.0
16,2,0.2225,55.25,1.5
17,0,2.0700000000000003,188.0,413.0
17,2,0.22499999999999998,57.0,0.0
18,0,2.1399999999999997,199.5,46.5
18,2,0.275,63.5,79.0
19,0,1.98,207.5,7000.0
19,2,0.2375,62.0,0.0
20,0,2.125,194.5,136.5
20,2,0.2425,56.75,0.0
21,0,2.1399999999999997,200.0,413.0
21,2,0.22,52.25,1.5
22,0,2.19,202.0,1215.5
22,2,0.2225,58.75,0.0
23,0,2.1399999999999997,199.5,0.0
23,2,0.28250000000000003,59.75,80.5
24,0,2.13,195.5,1230.0
24,2,0.25,62.5,3.5
25,0,2.065,195.5,163.0
25,2,0.2975,65.25,4.25
26,0,2.2,202.0,3287.0
26,2,0.235,57.5,3.5
27,0,2.065,209.0,393.0
27,2,0.2525,58.75,0.0
28,0,2.125,195.0,1574.0
28,2,0.215,59.75,0.0
29,0,2.135,195.0,10.5
29,2,0.1875,46.25,0.0
30,0,2.145,199.0,0.0
30,2,0.21000000000000002,54.75,0.0
31,0,2.13,183.5,366.5
31,2,0.22,52.0,1.5
32,0,2.14,201.0,3650.5
32,2,0.2225,55.5,0.0
33,0,2.14,189.5,46.5
33,2,0.195,48.0,3.0
34,0,2.135,193.5,917.5
34,2,0.21500000000000002,53.0,0.0
35,0,2.125,197.0,10.5
35,2,0.20500000000000002,46.0,0.0
36,0,2.1550000000000002,190.0,93.0
36,2,0.24,56.75,0.0
37,0,2.195,195.5,46.5
37,2,0.225,59.25,1.5
38,0,2.125,205.0,1334.5
38,2,0.24,68.75,1.5
39,0,2.13,185.5,142.5
39,2,0.21250000000000002,52.5,0.0
40,0,2.2199999999999998,185.0,46.5
40,2,0.2825,64.25,0.0
41,0,2.145,181.5,972.5
41,2,0.20500000000000002,58.25,0.0
42,0,2.13,184.5,10.5
42,2,0.26,61.5,80.5
43,0,2.125,202.5,1574.0
43,2,0.245,62.0,0.0
44,0,2.14,179.5,46.5
44,2,0.22,56.75,0.0
45,0,2.125,209.5,0.0
45,2,0.2275,74.75,79.0
46,0,2.13,189.0,46.5
46,2,0.25,64.5,79.0
47,0,2.2,195.0,477.0
47,2,0.2475,65.5,1.5
48,0,2.14,189.5,73.0
48,2,0.22,61.5,1.5
49,0,2.195,193.5,3243.5
49,2,0.2175,61.75,79.0
50,0,2.1399999999999997,190.5,46.5
50,2,0.22,53.0,0.0
51,0,2.1399999999999997,190.5,0.0
51,2,0.22,59.25,0.0
52,0,2.135,185.5,4484.5
52,2,0.21000000000000002,51.0,0.0
53,0,2.035,200.0,1724.0
53,2,0.2175,53.5,0.0
54,0,2.165,174.5,46.5
54,2,0.2475,56.5,39.5
55,0,2.1399999999999997,195.0,0.0
55,2,0.265,67.25,0.0
56,0,2.06,195.0,3316.5
56,2,0.20750000000000002,52.5,0.0
57,0,2.025,188.5,4568.5
57,2,0.22749999999999998,52.25,3.5
58,0,2.1399999999999997,199.5,137.0
58,2,0.25,62.5,1.0
59,0,2.1399999999999997,198.5,0.0
59,2,0.2175,58.75,0.0
60,0,2.125,208.5,1247.5
60,2,0.2625,67.5,5.0
61,0,1.985,192.5,177.0
61,2,0.24,70.0,149.0
62,0,2.13,198.5,46.5
62,2,0.1775,45.0,0.0
63,0,2.13,184.5,3689.0
63,2,0.2625,66.0,0.0
64,0,2.135,193.5,46.5
64,2,0.2175,52.25,79.0
65,0,2.2,192.5,46.5
65,2,0.25,60.5,0.0
66,0,2.1399999999999997,194.0,46.5
66,2,0.255,63.25,0.0
67,0,2.2249999999999996,194.5,1241.0
67,2,0.2425,58.5,0.0
68,0,2.0949999999999998,191.5,1826.0
68,2,0.1825,44.75,0.0
69,0,2.1399999999999997,185.5,0.0
69,2,0.1975,51.5,0.0
70,0,2.2199999999999998,207.0,964.0
70,2,0.295,69.5,157.25
71,0,2.1399999999999997,195.5,4168.5
71,2,0.2375,57.0,0.0
72,0,2.13,204.5,46.5
72,2,0.195,55.5,78.75
73,0,2.135,203.5,1316.5
73,2,0.24,77.25,0.0
74,0,2.0999999999999996,195.0,2300.0
74,2,0.2925,64.0,3.5
75,0,2.0949999999999998,189.5,1878.5
75,2,0.20500000000000002,51.75,0.0
76,0,2.13,194.5,0.0
76,2,0.27749999999999997,79.0,0.0
77,0,2.1550000000000002,190.5,46.5
77,2,0.22,59.0,0.0
78,0,2.215,204.5,1287.5
78,2,0.21,54.75,0.0
79,0,2.125,194.0,46.5
79,2,0.24,59.5,1.5
80,0,2.1399999999999997,190.5,0.0
80,2,0.24250000000000002,63.75,0.0
81,0,2.1399999999999997,189.5,46.5
81,2,0.1975,51.75,62.5
82,0,2.2249999999999996,187.5,45.5
82,2,0.22749999999999998,57.25,2.25
83,0,2.13,200.0,0.0
83,2,0.2,70.5,0.0
84,0,2.14,193.5,1294.0
84,2,0.2475,63.5,145.5
85,0,2.13,206.5,46.5
85,2,0.2475,60.0,0.0
86,0,2.13,204.5,0.0
86,2,0.22,52.5,0.0
87,0,2.135,205.0,46.5
87,2,0.22000000000000003,56.25,0.0
88,0,2.2249999999999996,202.0,1286.5
88,2,0.2525,60.5,39.5
89,0,2.09,192.0,1853.0
89,2,0.21,52.0,70.5
90,0,2.13,201.0,1169.0
90,2,0.2225,51.75,0.0
91,0,2.135,197.5,992.5
91,2,0.275,65.0,1.5
92,0,2.2249999999999996,203.0,110.5
92,2,0.25,59.25,80.25
93,0,2.0949999999999998,183.5,1893.0
93,2,0.2,55.0,0.0
94,0,2.135,188.0,110.5
94,2,0.19,47.25,0.0
95,0,2.145,186.5,10.5
95,2,0.2475,60.75,0.0
96,0,2.075,184.0,2751.0
96,2,0.245,60.25,0.0
97,0,2.1550000000000002,205.0,93.0
97,2,0.305,69.0,1.5
98,0,2.145,185.5,46.5
98,2,0.2275,55.25,1.5
99,0,2.125,201.0,0.0
99,2,0.20500000000000002,48.75,0.0
100,0,2.205,198.5,46.5
100,2,0.2475,64.5,0.0
101,0,2.065,210.0,3042.0
101,2,0.265,71.0,0.0
102,0,2.16,183.5,26.5
102,2,0.275,65.25,0.0
103,0,2.2,195.5,366.5
103,2,0.2475,71.5,0.0
104,0,2.145,195.0,46.5
104,2,0.2025,53.75,1.5
105,0,2.1399999999999997,186.0,10.5
105,2,0.2525,64.5,1.5
106,0,2.135,198.5,1873.0
106,2,0.23249999999999998,55.5,1.5
107,0,2.1399999999999997,213.0,46.5
107,2,0.21,47.0,1.5
108,0,2.135,203.0,93.0
108,2,0.23,53.5,1.5
109,0,2.14,196.5,73.0
109,2,0.1925,49.5,1.5
110,0,2.125,197.0,0.0
110,2,0.235,56.75,0.0
111,0,2.135,180.0,46.5
111,2,0.245,55.5,0.0
112,0,2.1399999999999997,195.0,46.5
112,2,0.2375,56.5,0.0
113,0,2.135,203.0,1850.5
113,2,0.1975,52.75,0.0
114,0,2.13,186.5,46.5
114,2,0.2325,56.5,0.0
115,0,2.14,184.0,558.5
115,2,0.19,45.25,0.0
116,0,2.145,189.5,0.0
116,2,0.25,59.75,0.0
117,0,2.32,208.0,46.5
117,2,0.21250000000000002,48.75,0.0
118,0,1.98,191.5,6018.5
118,2,0.2125,54.5,41.0
119,0,2.135,186.0,1907.5
119,2,0.2425,55.75,0.0
120,0,2.115,188.0,2083.0
120,2,0.23,55.5,0.0
121,0,2.07,197.0,2790.5
121,2,0.225,52.5,0.0
122,0,2.31,191.0,99.0
122,2,0.2,55.0,0.0
123,0,2.1399999999999997,190.0,46.5
123,2,0.29000000000000004,70.25,1.5
124,0,2.1399999999999997,197.0,0.0
124,2,0.2025,53.75,0.0
125,0,2.135,193.5,350.5
125,2,0.2175,58.5,0.0
126,0,2.1399999999999997,196.0,46.5
126,2,0.2025,50.25,0.0
127,0,2.08,203.0,2904.5
127,2,0.2275,59.0,1.0
128,0,2.13,145.5,13130.5
128,2,0.185,39.0,0.0
129,0,2.27,110.0,12.5
129,2,0.195,49.75,27.5
130,0,2.205,188.0,0.0
130,2,0.2375,57.25,0.0
131,0,2.135,193.5,46.5
131,2,0.2125,52.0,1.5
132,0,2.14,189.5,2077.0
132,2,0.2225,56.5,3.0
133,0,2.145,181.5,46.5
133,2,0.255,57.0,0.0
134,0,2.135,195.5,1871.5
134,2,0.23500000000000001,57.0,0.0
135,0,2.075,202.0,2698.5
135,2,0.21000000000000002,54.25,293.25
136,0,2.1399999999999997,191.0,46.5
136,2,0.255,57.75,1.5
137,0,2.145,192.0,0.0
137,2,0.245,64.5,0.0
138,0,2.0700000000000003,188.5,4603.5
138,2,0.2525,59.75,0.0
139,0,2.1399999999999997,185.0,46.5
139,2,0.21,51.5,0.0
140,0,2.135,199.5,46.5
