timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,2.0,0.0
1,1,0.0,3.0,0.0
1,2,0.005,4.5,0.0
2,0,0.0025,3.25,0.0
2,1,0.0,5.0,0.0
2,2,0.005,4.5,0.0
3,0,2.17,198.75,39.0
3,1,0.14500000000000002,25.5,0.0
3,2,0.22000000000000003,42.25,0.0
4,0,2.14,203.0,13.25
4,1,0.18,31.5,0.0
4,2,0.27749999999999997,62.25,0.0
5,0,2.13,199.0,59.5
5,1,0.185,33.0,0.0
5,2,0.2225,57.5,0.0
6,0,2.135,205.0,133.0
6,1,0.18,33.0,0.0
6,2,0.195,45.75,0.0
7,0,2.065,204.75,1482.75
7,1,0.155,27.0,0.0
7,2,0.24,59.25,0.0
8,0,2.1425,205.25,85.5
8,1,0.16999999999999998,31.0,0.0
8,2,0.275,55.0,127.5
9,0,2.13,187.75,87.0
9,1,0.14,26.0,0.0
9,2,0.29500000000000004,84.25,0.0
10,0,2.13,205.75,588.75
10,1,0.20500000000000002,36.0,0.0
10,2,0.2175,67.25,0.0
11,0,2.14,204.5,12.75
11,1,0.215,38.0,0.0
11,2,0.24,50.5,0.0
12,0,2.1375,199.75,101.75
12,1,0.15000000000000002,28.5,0.0
12,2,0.255,56.75,63.75
13,0,2.1425,202.75,59.5
13,1,0.175,29.5,0.0
13,2,0.26,56.25,0.0
14,0,2.1225,209.0,104.25
14,1,0.2,34.5,0.0
14,2,0.21500000000000002,47.75,0.0
15,0,2.145,202.75,13.25
15,1,0.17,30.5,0.0
15,2,0.22,45.0,0.0
16,0,2.1325000000000003,203.5,59.5
16,1,0.18,34.0,0.0
16,2,0.25,44.75,0.0
17,0,2.1375,201.0,88.25
17,1,0.175,32.0,0.0
17,2,0.24,43.25,38.75
18,0,2.125,205.75,28.0
18,1,0.17,31.0,0.0
18,2,0.24,45.75,0.0
19,0,2.2,203.5,85.5
19,1,0.18,31.5,0.0
19,2,0.22,47.0,0.0
20,0,2.13,201.75,132.0
20,1,0.16,30.0,0.0
20,2,0.2475,64.75,0.0
21,0,2.1425,205.5,85.25
21,1,0.18,32.5,0.0
21,2,0.22,38.0,0.0
22,0,2.1425,206.75,39.0
22,1,0.16999999999999998,31.0,0.0
22,2,0.2175,52.0,0.0
23,0,2.1425,201.5,72.75
23,1,0.16,29.0,0.0
23,2,0.2025,51.5,0.0
24,0,2.1325000000000003,204.25,59.5
24,1,0.16,27.5,0.0
24,2,0.23249999999999998,54.0,0.0
25,0,2.14,208.25,395.25
25,1,0.18,33.5,0.0
25,2,0.185,45.75,0.0
26,0,2.1425,200.25,39.0
26,1,0.165,28.5,0.0
26,2,0.22,46.25,0.0
27,0,2.14,196.0,379.75
27,1,0.175,31.5,0.0
27,2,0.28750000000000003,70.0,158.0
28,0,2.1375,204.0,59.5
28,1,0.175,31.5,0.0
28,2,0.235,53.0,0.0
29,0,2.1225,197.75,2248.5
29,1,0.165,29.5,0.0
29,2,0.215,42.25,0.0
30,0,2.1375,204.5,470.75
30,1,0.16,27.5,0.0
30,2,0.22499999999999998,41.25,0.0
31,0,2.135,203.0,366.5
31,1,0.165,30.0,79.0
31,2,0.21,35.75,0.0
32,0,2.14,203.0,85.75
32,1,0.23,38.5,0.0
32,2,0.175,33.0,0.0
33,0,2.0925000000000002,205.0,504.0
33,1,0.175,32.0,0.0
33,2,0.2375,60.5,0.0
34,0,2.1375,209.25,188.0
34,1,0.16,36.0,0.0
34,2,0.22999999999999998,45.25,0.0
35,0,2.145,195.5,575.5
35,1,0.225,55.0,0.0
35,2,0.2575,53.25,33.75
36,0,1.345,233.5,35864.5
36,1,0.175,31.0,0.0
36,2,0.2175,38.0,0.0
37,0,3.3275,200.0,9.75
37,1,0.16,30.0,0.0
37,2,0.2,35.25,0.0
38,0,2.1425,203.75,379.75
38,1,0.165,29.5,157.5
