timestep,decision,prb_decision,policy_decision
229,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
230,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
231,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
232,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
233,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
234,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
235,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
236,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
237,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
238,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
239,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
240,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
241,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
242,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
243,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
244,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
245,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
246,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
247,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
248,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
249,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
250,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
251,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
252,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
253,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
254,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
255,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
256,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
257,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
