timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.005,4.0,0.0
1,1,0.0,8.0,0.0
1,2,0.0033333333333333335,4.0,0.0
2,0,0.01,3.0,0.0
2,1,0.005,3.0,0.0
2,2,0.0033333333333333335,4.0,0.0
3,0,0.65,35.0,407.0
3,1,0.01,1.0,0.0
3,2,0.02,2.0,0.0
4,0,4.15,229.5,63.0
4,1,0.045,14.5,0.0
4,2,0.1,19.5,0.0
5,0,4.145,234.5,3138.5
5,1,0.06,11.0,0.0
5,2,0.1275,34.25,0.0
6,0,4.145,234.5,406.0
6,1,0.065,13.0,0.0
6,2,0.1275,24.5,0.0
7,0,4.045,234.5,4908.5
7,1,0.060000000000000005,12.0,79.0
7,2,0.10250000000000001,22.25,0.0
8,0,4.165,229.0,716.5
8,1,0.060000000000000005,19.0,0.0
8,2,0.12000000000000001,31.0,0.0
9,0,4.21,117.0,716.5
9,1,0.05,9.0,0.0
9,2,0.0875,26.75,0.0
10,0,2.635,221.0,68990.5
10,1,0.08,14.5,0.0
10,2,0.13,29.5,0.0
11,0,6.324999999999999,234.5,80646.0
11,1,0.05,9.5,0.0
11,2,0.12000000000000001,24.75,0.0
12,0,4.5,230.5,716.5
12,1,0.05,15.5,0.0
12,2,0.09,18.75,0.0
13,0,4.195,123.0,0.0
13,1,0.065,15.5,0.0
13,2,0.125,25.25,0.0
14,0,4.23,89.5,0.0
14,1,0.07,13.5,0.0
14,2,0.15,28.0,0.0
15,0,4.135,107.5,4851.5
15,1,0.065,12.0,0.0
15,2,0.09,17.5,0.0
16,0,4.154999999999999,229.0,11809.5
16,1,0.04,8.5,0.0
16,2,0.125,42.25,0.0
17,0,2.7350000000000003,234.0,65145.5
17,1,0.05500000000000001,9.5,0.0
17,2,0.09,20.25,0.0
18,0,6.855,234.5,47399.5
18,1,0.08499999999999999,29.0,0.0
18,2,0.10500000000000001,20.5,0.0
19,0,2.705,232.0,67271.0
19,1,0.05500000000000001,28.0,0.0
19,2,0.14,25.25,0.0
20,0,7.0200000000000005,165.5,716.5
20,1,0.07,14.5,0.0
20,2,0.14,26.75,79.0
21,0,4.205,120.5,2431.0
21,1,0.08,15.0,0.0
21,2,0.10500000000000001,19.25,0.0
22,0,4.145,217.5,951.0
22,1,0.055,11.0,79.0
22,2,0.135,25.5,0.0
23,0,4.29,230.0,1371.0
23,1,0.045,13.0,0.0
23,2,0.11499999999999999,38.25,0.0
24,0,4.255,211.0,235.5
24,1,0.045,17.0,78.5
24,2,0.125,30.5,0.0
25,0,2.41,233.0,80455.0
25,1,0.065,29.5,0.0
25,2,0.125,21.5,0.0
26,0,6.975,225.5,42135.5
26,1,0.07,14.0,0.0
26,2,0.10500000000000001,19.0,0.0
27,0,2.785,230.0,63702.0
27,1,0.07,15.5,0.0
27,2,0.11499999999999999,26.75,0.0
28,0,6.734999999999999,234.5,47949.5
28,1,0.05,10.0,0.0
28,2,0.1,19.5,0.0
29,0,2.795,234.5,63363.0
29,1,0.07500000000000001,14.0,0.0
29,2,0.11499999999999999,21.75,0.0
30,0,4.15,225.0,3532.5
30,1,0.065,12.0,0.0
30,2,0.1175,28.25,0.0
31,0,4.385,234.5,4824.5
31,1,0.045,8.0,0.0
31,2,0.125,36.25,0.0
32,0,3.92,234.0,5643.5
32,1,0.06,14.5,0.0
32,2,0.10250000000000001,23.25,0.0
33,0,4.145,235.0,716.5
33,1,0.065,14.5,0.0
33,2,0.1275,39.25,0.0
34,0,4.045,225.5,5922.5
34,1,0.07,12.0,0.0
34,2,0.115,39.5,115.5
35,0,4.33,229.5,63.0
35,1,0.06,10.5,0.0
35,2,0.095,18.5,0.0
36,0,4.18,142.5,716.5
36,1,0.060000000000000005,11.0,0.0
36,2,0.15,31.0,0.0
37,0,4.12,222.5,2439.0
37,1,0.08,37.5,0.0
37,2,0.125,28.25,0.0
38,0,4.145,234.5,920.0
38,1,0.05500000000000001,10.0,0.0
38,2,0.115,36.5,0.0
39,0,4.225,180.5,0.0
39,1,0.055,16.0,0.0
39,2,0.125,24.75,60.25
40,0,4.165,230.5,951.0
40,1,0.065,12.0,0.0
40,2,0.0925,26.25,0.0
41,0,4.145,232.5,3260.0
41,1,0.07500000000000001,14.0,0.0
41,2,0.08499999999999999,18.25,0.0
42,0,2.8,234.5,62809.5
42,1,0.065,12.0,0.0
42,2,0.10250000000000001,18.25,0.0
43,0,6.85,234.0,44805.0
43,1,0.065,12.5,0.0
43,2,0.12000000000000001,30.5,0.0
44,0,4.235,113.0,716.5
44,1,0.075,15.0,0.0
44,2,0.11,22.75,0.0
45,0,4.41,141.5,2478.5
45,1,0.05,10.0,0.0
45,2,0.165,29.75,0.0
46,0,4.215,175.5,2766.5
46,1,0.065,12.5,0.0
46,2,0.09,18.0,0.0
47,0,4.165,228.0,716.5
47,1,0.06,12.5,0.0
47,2,0.13,25.25,0.0
48,0,2.815,234.5,61064.0
48,1,0.045,19.0,0.0
48,2,0.10500000000000001,19.25,0.0
49,0,6.96,228.0,45001.0
49,1,0.06,12.0,0.0
49,2,0.135,24.0,0.0
50,0,4.235,176.5,716.5
50,1,0.06,11.0,0.0
50,2,0.125,22.5,0.0
51,0,4.17,230.0,982.0
51,1,0.05,9.5,0.0
51,2,0.1275,38.0,61.25
52,0,4.095000000000001,218.0,12558.0
52,1,0.05,9.5,0.0
52,2,0.1175,33.0,79.0
53,0,4.109999999999999,194.5,4917.0
53,1,0.065,28.5,0.0
53,2,0.14500000000000002,25.25,0.0
54,0,4.165,228.5,748.0
54,1,0.07,25.5,0.0
54,2,0.0925,19.0,0.0
55,0,4.06,231.0,5959.0
