timestep,slice_id,prb_decision,sched_decision,tx_brate,tx_pckts,dl_buffer
456,2,"inc(prb, C4)",toRR(sched),"const(tx_brate, Q3)","dec(tx_pckts, Q2)","const(dl_buffer, Q1)"
457,0,"inc(prb, C2)",toPF(sched),"inc(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q3)"
457,1,"inc(prb, C2)",const(sched),"dec(tx_brate, Q1)","inc(tx_pckts, Q3)","const(dl_buffer, Q1)"
457,2,"dec(prb, C2)",toWF(sched),"dec(tx_brate, Q2)","const(tx_pckts, Q2)","const(dl_buffer, Q1)"
458,0,"dec(prb, C1)",toWF(sched),"dec(tx_brate, Q3)","const(tx_pckts, Q4)","inc(dl_buffer, Q4)"
458,1,"dec(prb, C1)",const(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
458,2,"inc(prb, C4)",toRR(sched),"const(tx_brate, Q2)","const(tx_pckts, Q2)","const(dl_buffer, Q1)"
459,0,"inc(prb, C2)",toPF(sched),"inc(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q3)"
459,1,"inc(prb, C2)",const(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
459,2,"dec(prb, C2)",toWF(sched),"dec(tx_brate, Q2)","const(tx_pckts, Q2)","const(dl_buffer, Q1)"
460,0,"const(prb, C2)",const(sched),"dec(tx_brate, Q4)","const(tx_pckts, Q4)","inc(dl_buffer, Q4)"
460,1,"const(prb, C2)",const(sched),"const(tx_brate, Q1)","inc(tx_pckts, Q1)","const(dl_buffer, Q1)"
460,2,"const(prb, C2)",const(sched),"inc(tx_brate, Q3)","inc(tx_pckts, Q2)","const(dl_buffer, Q1)"
461,0,"const(prb, C2)",toRR(sched),"const(tx_brate, Q4)","dec(tx_pckts, Q3)","dec(dl_buffer, Q3)"
461,1,"dec(prb, C1)",const(sched),"const(tx_brate, Q1)","const(tx_pckts, Q1)","inc(dl_buffer, Q3)"
461,2,"inc(prb, C3)",toRR(sched),"dec(tx_brate, Q2)","dec(tx_pckts, Q2)","const(dl_buffer, Q1)"
462,0,"const(prb, C2)",toPF(sched),"const(tx_brate, Q4)","inc(tx_pckts, Q4)","inc(dl_buffer, Q4)"
462,1,"inc(prb, C2)",const(sched),"inc(tx_brate, Q1)","inc(tx_pckts, Q1)","dec(dl_buffer, Q1)"
462,2,"dec(prb, C2)",toWF(sched),"inc(tx_brate, Q3)","inc(tx_pckts, Q2)","const(dl_buffer, Q1)"
463,0,"dec(prb, C1)",toWF(sched),"dec(tx_brate, Q3)","const(tx_pckts, Q4)","inc(dl_buffer, Q4)"
463,1,"dec(prb, C1)",const(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
463,2,"inc(prb, C4)",toRR(sched),"dec(tx_brate, Q2)","dec(tx_pckts, Q2)","const(dl_buffer, Q1)"
464,0,"inc(prb, C2)",toPF(sched),"inc(tx_brate, Q4)","const(tx_pckts, Q4)","inc(dl_buffer, Q4)"
464,1,"inc(prb, C2)",const(sched),"dec(tx_brate, Q1)","inc(tx_pckts, Q1)","const(dl_buffer, Q1)"
464,2,"dec(prb, C2)",toWF(sched),"inc(tx_brate, Q3)","inc(tx_pckts, Q3)","const(dl_buffer, Q1)"
465,0,"dec(prb, C1)",toWF(sched),"dec(tx_brate, Q3)","const(tx_pckts, Q4)","dec(dl_buffer, Q4)"
465,1,"dec(prb, C1)",const(sched),"inc(tx_brate, Q2)","inc(tx_pckts, Q2)","const(dl_buffer, Q1)"
465,2,"inc(prb, C4)",toRR(sched),"dec(tx_brate, Q2)","dec(tx_pckts, Q3)","inc(dl_buffer, Q3)"
466,0,"inc(prb, C2)",toPF(sched),"inc(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q4)"
466,1,"inc(prb, C2)",const(sched),"const(tx_brate, Q2)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
466,2,"dec(prb, C2)",toWF(sched),"const(tx_brate, Q3)","dec(tx_pckts, Q2)","dec(dl_buffer, Q1)"
467,0,"inc(prb, C3)",toWF(sched),"dec(tx_brate, Q4)","dec(tx_pckts, Q3)","dec(dl_buffer, Q1)"
467,1,"dec(prb, C1)",toPF(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
467,2,"const(prb, C2)",toRR(sched),"const(tx_brate, Q3)","dec(tx_pckts, Q2)","const(dl_buffer, Q1)"
468,0,"dec(prb, C1)",const(sched),"dec(tx_brate, Q3)","inc(tx_pckts, Q4)","inc(dl_buffer, Q4)"
