timestep,decision,prb_decision,policy_decision
1,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
2,"(6, 9, 35, 1, 0, 0)","[6, 9, 35]","[1, 0, 0]"
3,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
4,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
5,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
6,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
7,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
8,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
9,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
10,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
11,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
12,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
13,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
14,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
15,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
16,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
17,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
18,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
19,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
20,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
21,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
22,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
23,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
24,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
25,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
26,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
27,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
28,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
29,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
30,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
31,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
32,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
33,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
34,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
35,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
36,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
37,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
38,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
39,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
40,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
41,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
42,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
43,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
44,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
45,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
