timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,4.0,0.0
1,1,0.0,2.0,0.0
1,2,0.005,4.5,0.0
2,0,0.0075,4.25,0.0
2,1,0.005,3.5,0.0
2,2,0.005,2.5,0.0
3,0,2.5025,101.0,416.25
3,1,0.025,4.5,0.0
3,2,0.060000000000000005,13.25,0.0
4,0,4.1725,181.75,104.75
4,1,0.045,8.0,0.0
4,2,0.09,16.0,0.0
5,0,4.16,178.5,358.25
5,1,0.055,11.0,0.0
5,2,0.135,27.0,0.0
6,0,4.165,180.75,103.0
6,1,0.045,9.0,0.0
6,2,0.12000000000000001,22.0,0.0
7,0,4.1475,178.75,362.5
7,1,0.055,11.0,0.0
7,2,0.09,18.0,0.0
8,0,4.1375,182.0,0.0
8,1,0.065,12.5,0.0
8,2,0.11499999999999999,22.5,0.0
9,0,4.172499999999999,181.5,103.0
9,1,0.060000000000000005,11.5,0.0
9,2,0.095,17.25,0.0
10,0,4.172499999999999,183.75,38.5
10,1,0.065,12.0,0.0
10,2,0.165,31.0,0.0
11,0,4.1625,176.5,104.25
11,1,0.045,12.0,0.0
11,2,0.13,29.5,0.0
12,0,4.17,181.0,0.0
12,1,0.05,9.5,0.0
12,2,0.10500000000000001,19.25,0.0
13,0,4.17,180.5,205.0
13,1,0.065,12.0,0.0
13,2,0.10250000000000001,20.25,0.0
14,0,4.165,181.75,102.5
14,1,0.06,12.0,0.0
14,2,0.16,28.25,0.0
15,0,4.1475,179.5,0.0
15,1,0.05500000000000001,10.5,0.0
15,2,0.14250000000000002,27.0,0.0
16,0,4.157500000000001,179.0,0.0
16,1,0.045,8.0,0.0
16,2,0.1,19.0,79.0
17,0,4.165,179.75,205.5
17,1,0.04,9.0,0.0
17,2,0.09,17.5,0.0
18,0,4.1575,183.0,563.5
18,1,0.09,22.0,0.0
18,2,0.12000000000000001,27.25,0.0
19,0,4.1375,180.25,12.25
19,1,0.045,8.5,0.0
19,2,0.11,19.25,0.0
20,0,4.145,179.5,819.5
20,1,0.065,13.5,0.0
20,2,0.12,23.0,0.0
21,0,4.1675,180.0,105.5
21,1,0.06,11.0,0.0
21,2,0.105,20.25,0.0
22,0,4.140000000000001,186.25,462.5
22,1,0.045,9.5,0.0
22,2,0.125,23.0,79.0
23,0,2.6725,119.5,0.0
23,1,0.03,5.0,0.0
23,2,0.0825,24.0,0.0
24,0,4.1625,178.25,102.5
24,1,0.065,12.5,0.0
24,2,0.125,23.25,0.0
25,0,4.165,184.5,102.5
25,1,0.07,14.5,0.0
25,2,0.1,18.5,0.0
26,0,4.1475,178.0,0.0
26,1,0.075,14.0,0.0
26,2,0.08,15.0,0.0
27,0,4.16,179.25,0.0
27,1,0.05,10.0,0.0
27,2,0.12,22.0,0.0
28,0,4.16,182.0,141.5
28,1,0.08,16.0,0.0
28,2,0.10500000000000001,20.25,0.0
29,0,4.17,180.0,716.5
29,1,0.07500000000000001,14.5,0.0
29,2,0.11499999999999999,20.75,0.0
30,0,4.15,186.25,0.0
30,1,0.055,10.5,0.0
30,2,0.11,21.0,0.0
31,0,4.145,179.25,818.0
31,1,0.055,10.5,0.0
31,2,0.11499999999999999,20.5,0.0
32,0,4.16,180.5,141.5
32,1,0.045,30.0,0.0
32,2,0.14500000000000002,28.5,0.0
33,0,4.1625000000000005,176.0,1176.5
33,1,0.065,12.5,157.5
33,2,0.1125,22.25,0.0
34,0,4.17,178.25,0.0
34,1,0.05,10.0,0.0
34,2,0.11,21.0,0.0
35,0,4.1375,183.75,716.5
35,1,0.065,13.0,0.0
35,2,0.11,20.25,0.0
36,0,4.1625,187.25,115.75
36,1,0.04,7.5,0.0
36,2,0.12,29.75,0.0
37,0,4.1425,185.25,0.0
37,1,0.06,11.5,0.0
37,2,0.15500000000000003,37.0,0.0
38,0,4.1675,179.25,0.0
38,1,0.05500000000000001,10.0,0.0
38,2,0.115,22.0,0.0
39,0,4.16,181.5,103.0
39,1,0.045,8.5,0.0
39,2,0.125,29.0,0.0
40,0,4.1675,180.0,717.75
40,1,0.060000000000000005,11.5,0.0
40,2,0.125,24.75,0.0
41,0,4.1425,179.75,0.0
41,1,0.05,10.0,0.0
