timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,2.0,0.0
1,1,0.0,1.0,0.0
1,2,0.0,5.0,181.0
2,0,4.125,231.5,779.0
2,1,0.05,16.5,0.0
2,2,0.095,18.0,0.0
3,0,4.25,234.0,1261.0
3,1,0.045,8.5,0.0
3,2,0.09,17.0,79.0
4,0,4.140000000000001,233.5,1089.0
4,1,0.04,7.0,0.0
4,2,0.115,21.0,79.0
5,0,4.15,229.5,392.0
5,1,0.08,14.0,0.0
5,2,0.125,24.0,79.0
6,0,4.154999999999999,234.5,745.0
6,1,0.05500000000000001,9.0,0.0
6,2,0.095,18.0,0.0
7,0,4.25,234.0,1173.0
7,1,0.07,12.0,0.0
7,2,0.10500000000000001,20.5,0.0
8,0,4.615,157.5,0.0
8,1,0.08,15.0,0.0
8,2,0.10500000000000001,20.0,0.0
9,0,2.54,234.5,81161.0
9,1,0.055,14.0,0.0
9,2,0.095,17.5,0.0
10,0,6.9,234.5,29368.0
10,1,0.05,10.0,0.0
10,2,0.12000000000000001,22.5,0.0
11,0,3.325,234.5,29931.0
11,1,0.055,9.0,0.0
11,2,0.125,24.0,0.0
12,0,4.27,234.5,147919.0
12,1,0.04,8.0,0.0
12,2,0.115,21.5,0.0
13,0,5.105,234.5,9318.0
13,1,0.055,16.0,0.0
13,2,0.125,22.5,0.0
14,0,4.135,234.5,748.0
14,1,0.06,12.0,0.0
14,2,0.135,25.0,0.0
15,0,4.130000000000001,234.5,3460.5
15,1,0.045,10.0,0.0
15,2,0.15500000000000003,29.0,0.0
16,0,4.140000000000001,234.5,401.0
16,1,0.055,10.5,0.0
16,2,0.105,19.5,79.0
17,0,4.255,234.0,4567.5
17,1,0.03,6.0,0.0
17,2,0.10500000000000001,18.5,0.0
18,0,4.145,234.0,1089.0
18,1,0.075,14.0,79.0
18,2,0.13,22.5,0.0
19,0,4.140000000000001,234.5,601.0
19,1,0.05,9.0,0.0
19,2,0.12,21.5,79.0
20,0,4.140000000000001,233.5,1803.0
20,1,0.05,26.5,0.0
20,2,0.095,18.5,0.0
21,0,4.27,234.5,745.0
21,1,0.035,6.5,0.0
21,2,0.1,20.0,0.0
22,0,4.095000000000001,234.0,2111.0
22,1,0.04,7.5,0.0
22,2,0.135,25.0,0.0
23,0,4.215,234.5,5720.0
23,1,0.065,12.0,0.0
23,2,0.13,24.0,0.0
24,0,2.91,234.5,51429.5
24,1,0.055,10.5,0.0
24,2,0.12,21.5,0.0
25,0,2.49,234.5,184072.0
25,1,0.065,11.5,0.0
25,2,0.12,21.5,0.0
26,0,5.305,234.5,115811.0
26,1,0.08,15.5,0.0
26,2,0.11,20.0,0.0
27,0,4.34,222.5,573.0
27,1,0.025,4.5,0.0
27,2,0.1,18.5,79.0
28,0,3.495,234.5,20589.0
28,1,0.09,16.5,0.0
28,2,0.1,20.0,0.0
29,0,3.035,234.5,38838.0
29,1,0.065,12.5,0.0
29,2,0.135,25.5,0.0
30,0,2.615,234.5,183845.0
30,1,0.045,8.5,0.0
30,2,0.11,21.0,0.0
31,0,2.59,234.5,183909.0
31,1,0.04,8.0,0.0
31,2,0.09,16.5,0.0
32,0,3.4050000000000002,234.5,181308.5
32,1,0.045,8.0,0.0
32,2,0.11,19.5,0.0
33,0,3.375,234.5,141060.5
33,1,0.034999999999999996,15.0,0.0
33,2,0.10500000000000001,19.5,0.0
34,0,2.61,234.5,183879.0
34,1,0.05,8.0,0.0
34,2,0.11,21.0,0.0
35,0,2.6,234.5,182820.0
35,1,0.08,15.5,0.0
35,2,0.095,16.0,0.0
36,0,2.625,234.5,183109.5
36,1,0.05,10.0,0.0
36,2,0.12,23.0,0.0
37,0,4.0,234.5,163972.0
37,1,0.05,8.5,0.0
37,2,0.11,21.5,79.0
38,0,3.5100000000000002,234.5,160390.0
38,1,0.05,9.5,0.0
38,2,0.11499999999999999,21.0,0.0
39,0,6.83,225.5,920.0
39,1,0.060000000000000005,11.5,0.0
39,2,0.1,18.5,0.0
40,0,4.154999999999999,234.5,545.0
40,1,0.065,12.0,0.0
40,2,0.125,23.5,0.0
41,0,4.140000000000001,233.0,517.0
41,1,0.08499999999999999,15.5,0.0
41,2,0.11,20.5,79.0
42,0,4.15,234.5,745.0
42,1,0.07,13.5,79.0
42,2,0.105,20.5,0.0
43,0,4.135,234.5,1089.0
43,1,0.06,11.5,0.0
43,2,0.115,20.5,0.0
44,0,4.15,234.5,401.0
44,1,0.06,11.5,0.0
44,2,0.11,21.0,0.0
45,0,4.140000000000001,234.0,889.0
45,1,0.07,14.0,0.0
45,2,0.14,27.0,0.0
46,0,4.055,233.5,4717.5
46,1,0.05,10.0,0.0
46,2,0.14,25.0,0.0
47,0,4.295,234.5,1089.0
47,1,0.075,15.5,0.0
47,2,0.095,19.0,0.0
48,0,3.6900000000000004,234.0,13829.5
48,1,0.06,11.5,0.0
48,2,0.12,22.5,0.0
49,0,2.4850000000000003,234.0,85062.5
49,1,0.065,11.5,0.0
49,2,0.10500000000000001,18.5,0.0
50,0,6.835,234.5,24873.0
50,1,0.065,11.5,0.0
50,2,0.115,22.5,0.0
51,0,2.7649999999999997,234.5,67178.0
51,1,0.065,12.5,0.0
51,2,0.125,23.0,0.0
52,0,2.42,234.5,183617.5
52,1,0.05,9.5,0.0
52,2,0.115,21.0,79.0
53,0,4.41,234.0,155431.5
53,1,0.06,11.0,79.0
53,2,0.10500000000000001,20.5,0.0
54,0,5.295,234.5,18752.0
54,1,0.07,28.5,0.0
54,2,0.125,23.0,0.0
55,0,4.145,229.0,235.0
55,1,0.065,13.5,0.0
55,2,0.09,16.5,0.0
56,0,3.95,234.5,10465.5
56,1,0.065,12.5,0.0
56,2,0.11499999999999999,21.5,158.0
57,0,4.140000000000001,229.0,716.5
57,1,0.055,10.5,0.0
57,2,0.11,21.5,0.0
58,0,4.140000000000001,233.5,1089.0
58,1,0.055,10.0,0.0
58,2,0.115,22.0,0.0
59,0,3.99,233.0,8099.0
59,1,0.060000000000000005,11.5,0.0
59,2,0.1,18.5,0.0
60,0,4.035,234.5,3198.0
60,1,0.04,7.5,0.0
60,2,0.125,24.5,0.0
61,0,4.25,234.0,1233.0
61,1,0.08,15.0,0.0
61,2,0.1,19.5,0.0
62,0,4.15,234.5,773.0
62,1,0.045,8.5,0.0
62,2,0.135,25.0,0.0
63,0,4.140000000000001,234.5,401.0
63,1,0.05,9.0,0.0
63,2,0.11,20.5,0.0
64,0,4.140000000000001,234.5,4769.0
64,1,0.06,11.0,0.0
64,2,0.1,19.5,0.0
65,0,4.140000000000001,233.5,1089.0
65,1,0.065,12.0,0.0
65,2,0.115,22.0,0.0
66,0,4.154999999999999,234.5,517.0
66,1,0.05,9.0,0.0
66,2,0.09,17.5,0.0
67,0,2.52,234.5,81708.0
67,1,0.05,9.0,0.0
67,2,0.155,28.5,0.0
68,0,4.9350000000000005,234.5,139822.5
68,1,0.045,8.0,0.0
68,2,0.095,18.0,79.0
69,0,2.0700000000000003,234.0,162297.5
69,1,0.055,10.0,0.0
69,2,0.12000000000000001,21.5,0.0
70,0,6.91,234.5,9891.5
70,1,0.06,11.0,0.0
70,2,0.105,19.0,0.0
71,0,4.125,225.0,757.0
71,1,0.07,13.0,0.0
71,2,0.10500000000000001,19.0,0.0
72,0,4.145,233.5,400.5
72,1,0.05500000000000001,11.0,0.0
72,2,0.115,22.0,0.0
73,0,4.025,234.0,4193.0
73,1,0.05500000000000001,9.0,0.0
73,2,0.11,20.5,0.0
74,0,4.140000000000001,234.5,3724.0
74,1,0.045,9.0,0.0
74,2,0.1,19.5,0.0
75,0,2.69,234.5,74387.5
75,1,0.06,11.0,0.0
75,2,0.115,21.5,0.0
76,0,4.405,234.5,160028.5
76,1,0.05,9.0,0.0
76,2,0.12,22.0,0.0
77,0,2.4850000000000003,234.0,164716.0
77,1,0.065,12.0,0.0
77,2,0.125,23.5,0.0
78,0,6.84,230.5,8195.5
78,1,0.055,12.0,0.0
78,2,0.10500000000000001,19.0,0.0
79,0,4.105,231.5,1647.5
79,1,0.07,15.0,0.0
79,2,0.115,22.0,0.0
80,0,4.145,234.5,7347.0
80,1,0.05,10.5,0.0
80,2,0.11499999999999999,21.0,0.0
81,0,2.41,234.0,89364.0
81,1,0.04,7.0,0.0
81,2,0.10500000000000001,19.0,0.0
82,0,4.025,234.5,175525.0
82,1,0.05500000000000001,11.0,0.0
82,2,0.11,20.5,0.0
83,0,2.615,234.5,175092.0
83,1,0.05500000000000001,9.5,0.0
83,2,0.07500000000000001,15.0,0.0
84,0,2.69,234.5,183579.5
84,1,0.065,12.0,0.0
