timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,1.0,0.0
1,1,0.0,1.0,0.0
1,2,0.0,1.0,0.0
2,0,2.2249999999999996,227.5,163.0
2,1,0.15500000000000003,29.5,0.0
2,2,0.195,32.5,0.0
3,0,2.195,189.0,1939.5
3,1,0.19,33.5,0.0
3,2,0.255,43.5,0.0
4,0,2.13,199.5,0.0
4,1,0.195,35.0,0.0
4,2,0.2,36.5,0.0
5,0,2.175,189.5,21.5
5,1,0.14,26.5,0.0
5,2,0.2,36.5,0.0
6,0,2.0300000000000002,231.0,1387.5
6,1,0.16,30.0,0.0
6,2,0.25,43.0,0.0
7,0,2.12,186.0,21.5
7,1,0.2,37.5,0.0
7,2,0.235,41.5,0.0
8,0,2.13,191.0,213.5
8,1,0.16999999999999998,31.0,0.0
8,2,0.25,43.0,0.0
9,0,2.1399999999999997,225.0,207.0
9,1,0.16,29.0,0.0
9,2,0.195,33.5,0.0
10,0,2.12,192.0,21.5
10,1,0.16,29.5,0.0
10,2,0.265,46.0,0.0
11,0,1.97,192.0,6715.5
11,1,0.16,30.0,0.0
11,2,0.20500000000000002,35.0,79.0
12,0,2.0949999999999998,192.0,1950.5
12,1,0.15000000000000002,26.0,0.0
12,2,0.27,46.0,0.0
13,0,2.1100000000000003,186.0,1050.0
13,1,0.185,32.5,0.0
13,2,0.24,40.0,0.0
14,0,2.115,191.0,0.0
14,1,0.14,26.0,0.0
14,2,0.245,41.0,0.0
15,0,2.135,230.0,109.5
15,1,0.2,34.5,0.0
15,2,0.22999999999999998,40.0,0.0
16,0,2.29,189.0,212.5
16,1,0.195,36.5,0.0
16,2,0.265,43.5,0.0
17,0,2.13,195.0,43.0
17,1,0.165,29.5,0.0
17,2,0.21,35.5,0.0
18,0,2.185,187.0,0.0
18,1,0.165,30.0,0.0
18,2,0.22999999999999998,39.0,0.0
19,0,2.08,188.5,6482.0
19,1,0.16999999999999998,31.0,0.0
19,2,0.275,48.0,0.0
20,0,2.1,193.5,2287.0
20,1,0.19,35.0,0.0
20,2,0.235,40.0,0.0
21,0,2.0700000000000003,188.5,616.5
21,1,0.18,32.0,79.0
21,2,0.245,42.0,0.0
22,0,2.135,234.0,21.5
22,1,0.16,27.5,0.0
22,2,0.215,38.0,0.0
23,0,2.085,214.5,2529.0
23,1,0.175,33.0,0.0
23,2,0.23,40.5,79.0
24,0,2.12,183.0,410.0
24,1,0.15,27.0,0.0
24,2,0.27,43.0,0.0
25,0,2.02,205.5,2300.5
25,1,0.21000000000000002,36.5,79.0
25,2,0.28,47.0,79.0
26,0,2.13,180.5,0.0
26,1,0.165,30.5,0.0
26,2,0.245,41.0,0.0
27,0,2.125,185.0,366.5
27,1,0.18,32.5,0.0
27,2,0.24,41.5,0.0
28,0,2.115,188.0,582.5
28,1,0.155,30.0,0.0
28,2,0.23,38.0,0.0
29,0,2.1399999999999997,180.0,0.0
29,1,0.135,25.0,0.0
29,2,0.245,43.5,0.0
30,0,2.165,219.0,398.5
30,1,0.15500000000000003,29.0,0.0
30,2,0.22,39.5,0.0
31,0,2.13,179.0,21.5
31,1,0.15000000000000002,27.5,0.0
31,2,0.23,40.5,0.0
32,0,2.12,203.0,775.5
32,1,0.14500000000000002,27.5,0.0
32,2,0.265,44.0,0.0
33,0,2.12,190.5,0.0
33,1,0.18,32.5,0.0
33,2,0.2,36.5,0.0
34,0,2.13,178.5,713.5
34,1,0.18,32.5,0.0
34,2,0.20500000000000002,34.5,0.0
35,0,2.26,201.5,1559.5
35,1,0.185,32.0,0.0
35,2,0.24,42.0,0.0
36,0,2.115,183.0,541.0
36,1,0.16499999999999998,31.0,0.0
36,2,0.21,34.0,0.0
37,0,2.1100000000000003,180.0,504.0
37,1,0.20500000000000002,35.5,0.0
37,2,0.265,44.5,0.0
38,0,2.12,197.5,849.0
38,1,0.185,35.0,0.0
38,2,0.22,38.5,0.0
39,0,2.125,185.0,3848.0
39,1,0.195,36.5,0.0
39,2,0.26,43.5,0.0
40,0,2.115,183.5,22.5
40,1,0.155,26.0,0.0
40,2,0.20500000000000002,36.5,0.0
41,0,2.135,171.5,0.0
41,1,0.16499999999999998,31.0,0.0
41,2,0.25,41.5,0.0
