timestep,decision,prb_decision,policy_decision
1,"(24, 15, 11, 2, 1, 0)","[24, 15, 11]","[2, 1, 0]"
2,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
3,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
4,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
5,"(12, 15, 23, 2, 2, 0)","[12, 15, 23]","[2, 2, 0]"
6,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
7,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
8,"(12, 15, 23, 2, 2, 0)","[12, 15, 23]","[2, 2, 0]"
9,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
10,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
11,"(12, 15, 23, 1, 1, 0)","[12, 15, 23]","[1, 1, 0]"
12,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
13,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
14,"(12, 15, 23, 2, 2, 0)","[12, 15, 23]","[2, 2, 0]"
15,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
16,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
17,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
18,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
19,"(12, 15, 23, 0, 2, 0)","[12, 15, 23]","[0, 2, 0]"
20,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
21,"(6, 9, 35, 0, 0, 0)","[6, 9, 35]","[0, 0, 0]"
22,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
23,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
24,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
25,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
26,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
27,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
28,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
29,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
30,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
31,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
32,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
33,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
34,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
35,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
36,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
37,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
38,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
39,"(12, 15, 23, 0, 2, 0)","[12, 15, 23]","[0, 2, 0]"
40,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
41,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
42,"(24, 15, 11, 2, 1, 0)","[24, 15, 11]","[2, 1, 0]"
43,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
44,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
45,"(12, 15, 23, 0, 2, 0)","[12, 15, 23]","[0, 2, 0]"
46,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
47,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
48,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
49,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
50,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
51,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
52,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
53,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
54,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
55,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
56,"(12, 15, 23, 1, 1, 0)","[12, 15, 23]","[1, 1, 0]"
57,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
58,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
59,"(12, 15, 23, 0, 2, 0)","[12, 15, 23]","[0, 2, 0]"
60,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
61,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
62,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
63,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
64,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
65,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
66,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
67,"(12, 15, 23, 2, 2, 0)","[12, 15, 23]","[2, 2, 0]"
68,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
69,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
70,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
71,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
72,"(12, 15, 23, 0, 2, 0)","[12, 15, 23]","[0, 2, 0]"
73,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
74,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
75,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
76,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
77,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
78,"(12, 15, 23, 2, 2, 0)","[12, 15, 23]","[2, 2, 0]"
79,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
80,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
81,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
82,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
83,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
84,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
85,"(12, 15, 23, 2, 2, 0)","[12, 15, 23]","[2, 2, 0]"
86,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
87,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
88,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
89,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
90,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
91,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
92,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
93,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
