timestep,group,group_members,MSEUr_mean,DTUr_mean,sched_members,sched_members_complete,decision,reward
1684,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 1, 3, 4, 5, 6], [2]]","[[2, 3, 4, 5], [0, 1, 6]]","const(G0, Q4, 75)",0.865
1685,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 1, 3, 4, 5, 6], [2]]","[[1, 2, 4], [0, 3, 5, 6]]","const(G0, Q4, 75)",0.864
1686,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[4, 6], [0, 1, 2, 3, 5]]","const(G0, Q4, 75)",0.861
1687,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 2, 4], [1, 3, 5, 6]]","const(G0, Q4, 75)",0.869
1688,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 5], [1, 2, 3, 4, 6]]","const(G0, Q4, 75)",0.865
1689,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[1, 3, 5], [0, 2, 4, 6]]","const(G0, Q4, 75)",0.861
1690,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 4], [1, 2, 3, 5, 6]]","const(G0, Q4, 75)",0.868
1691,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 1, 4], [2, 3, 5, 6]]","const(G0, Q4, 75)",0.866
1692,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q4, 75)",0.868
1693,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q4, 75)",0.866
1694,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1], [0, 2, 3, 4, 5]]","[[1, 6], [0, 2, 3, 4, 5]]","dec(G0, Q1, 25)",0.541
1694,1,[6],"inc(MSEUr_mean, Q3)","inc(DTUr_mean, Q3)","[[6], []]","[[1, 6], [0, 2, 3, 4, 5]]","const(G1, Q1, 100)",0.541
1695,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 3], [2, 4, 5]]","[[0, 6], [1, 2, 3, 4, 5]]","inc(G0, Q3, 50)",0.687
1695,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[0, 6], [1, 2, 3, 4, 5]]","dec(G1, Q1, 0)",0.687
1696,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 3], [2, 4, 5]]","[[0, 6], [1, 2, 3, 4, 5]]","const(G0, Q3, 50)",0.686
1696,1,[6],"const(MSEUr_mean, Q4)","const(DTUr_mean, Q3)","[[], [6]]","[[0, 6], [1, 2, 3, 4, 5]]","const(G1, Q1, 0)",0.686
1697,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G0, Q3, 50)",0.687
1697,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G1, Q1, 0)",0.687
1698,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[0, 1, 4, 6], [2, 3, 5]]","const(G0, Q3, 50)",0.691
1698,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[0, 1, 4, 6], [2, 3, 5]]","const(G1, Q1, 0)",0.691
1699,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G0, Q3, 50)",0.692
1699,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G1, Q1, 0)",0.692
1700,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 3, 4, 5, 6], [2]]","[[0, 1, 4], [2, 3, 5, 6]]","inc(G0, Q4, 75)",0.861
1701,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 1], [2, 3, 4, 5, 6]]","const(G0, Q4, 75)",0.864
1702,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 3, 4, 5], [1, 2]]","[[0, 3, 4, 5, 6], [1, 2]]","dec(G0, Q4, 75)",0.629
1702,1,[6],"const(MSEUr_mean, Q4)","const(DTUr_mean, Q3)","[[6], []]","[[0, 3, 4, 5, 6], [1, 2]]","inc(G1, Q1, 100)",0.629
1703,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1], [2, 3, 4, 5]]","[[0, 1, 6], [2, 3, 4, 5]]","dec(G0, Q2, 25)",0.572
1703,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[6], []]","[[0, 1, 6], [2, 3, 4, 5]]","const(G1, Q1, 100)",0.572
1704,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 3], [2, 4, 5]]","[[5], [0, 1, 2, 3, 4, 6]]","inc(G0, Q3, 50)",0.691
1704,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G1, Q1, 0)",0.691
1705,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[2, 4, 5], [0, 1, 3, 6]]","const(G0, Q3, 50)",0.688
1705,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[2, 4, 5], [0, 1, 3, 6]]","const(G1, Q1, 0)",0.688
1706,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[3, 5, 6], [0, 1, 2, 4]]","const(G0, Q3, 50)",0.685
1706,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[3, 5, 6], [0, 1, 2, 4]]","const(G1, Q1, 0)",0.685
1707,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 3], [2, 4, 5]]","[[0, 1, 2, 6], [3, 4, 5]]","const(G0, Q3, 50)",0.68
1707,1,[6],"const(MSEUr_mean, Q4)","const(DTUr_mean, Q3)","[[], [6]]","[[0, 1, 2, 6], [3, 4, 5]]","const(G1, Q1, 0)",0.68
1708,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 50)",0.681
1708,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.681
1709,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[2, 3], [0, 1, 4, 5, 6]]","const(G0, Q3, 50)",0.685
1709,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[2, 3], [0, 1, 4, 5, 6]]","const(G1, Q1, 0)",0.685
1710,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 50)",0.685
