timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
15,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 5, 6], []]","[[0, 2, 3, 4, 5, 6], [1]]","inc(G1, Q3, 100)",0.668
16,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 2, 4], [1]]","[[0, 2, 3, 4, 6], [1, 5]]","const(G0, Q3, 75)",0.627
16,1,"[3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3, 6], [5]]","[[0, 2, 3, 4, 6], [1, 5]]","dec(G1, Q2, 75)",0.627
17,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[0, 1, 4], [2]]","[[0, 1, 4, 5], [2, 3, 6]]","const(G0, Q3, 75)",0.606
17,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[5], [3, 6]]","[[0, 1, 4, 5], [2, 3, 6]]","dec(G1, Q1, 25)",0.606
18,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1, 2], [0, 4]]","[[1, 2, 3, 5], [0, 4, 6]]","dec(G0, Q1, 50)",0.582
18,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 5], [6]]","[[1, 2, 3, 5], [0, 4, 6]]","inc(G1, Q1, 75)",0.582
19,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [0, 1, 2, 4]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G0, Q1, 0)",0.525
19,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[5], [3, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G1, Q1, 25)",0.525
20,0,"[0, 1, 2]","inc(MSEUr, Q3)","dec(DTUr, Q4)","[[0], [1, 2]]","[[0, 6], [1, 2, 3, 4, 5]]","inc(G0, Q1, 25)",0.541
20,1,"[3, 4, 5]","dec(MSEUr, Q2)","inc(DTUr, Q4)","[[], [3, 4, 5]]","[[0, 6], [1, 2, 3, 4, 5]]","dec(G1, Q1, 0)",0.541
20,2,[6],"const(MSEUr, Q4)","inc(DTUr, Q4)","[[6], []]","[[0, 6], [1, 2, 3, 4, 5]]","inc(G2, Q1, 100)",0.541
21,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2], [0, 1, 4]]","[[2, 5, 6], [0, 1, 3, 4]]","const(G0, Q1, 25)",0.568
21,1,"[3, 5, 6]","inc(MSEUr, Q3)","const(DTUr, Q4)","[[5, 6], [3]]","[[2, 5, 6], [0, 1, 3, 4]]","inc(G1, Q2, 75)",0.568
22,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.524
22,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.524
23,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 4], [0, 1]]","[[2, 3, 4], [0, 1, 5, 6]]","inc(G0, Q3, 50)",0.553
23,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3], [5, 6]]","[[2, 3, 4], [0, 1, 5, 6]]","inc(G1, Q2, 25)",0.553
24,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 4]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G0, Q2, 25)",0.525
24,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.525
25,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2], [1, 4]]","[[0, 2, 3, 5], [1, 4, 6]]","inc(G0, Q3, 50)",0.613
25,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 5], [6]]","[[0, 2, 3, 5], [1, 4, 6]]","inc(G1, Q3, 75)",0.613
26,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [0, 1, 2, 4]]","[[6], [0, 1, 2, 3, 4, 5]]","dec(G0, Q1, 0)",0.536
26,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[6], [3, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","dec(G1, Q2, 25)",0.536
27,0,"[0, 1, 2]","inc(MSEUr, Q4)","dec(DTUr, Q4)","[[1], [0, 2]]","[[1, 3, 4], [0, 2, 5, 6]]","inc(G0, Q2, 25)",0.556
27,1,"[3, 4, 5]","dec(MSEUr, Q2)","const(DTUr, Q4)","[[3, 4], [5]]","[[1, 3, 4], [0, 2, 5, 6]]","inc(G1, Q3, 75)",0.556
27,2,[6],"const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [6]]","[[1, 3, 4], [0, 2, 5, 6]]","dec(G2, Q1, 0)",0.556
28,0,"[0, 1, 4]","dec(MSEUr, Q3)","const(DTUr, Q3)","[[1], [0, 4]]","[[1, 2, 5, 6], [0, 3, 4]]","const(G0, Q2, 25)",0.597
28,1,"[2, 3, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2, 6], [3]]","[[1, 2, 5, 6], [0, 3, 4]]","const(G1, Q4, 75)",0.597
28,2,[5],"const(MSEUr, Q3)","const(DTUr, Q4)","[[5], []]","[[1, 2, 5, 6], [0, 3, 4]]","inc(G2, Q2, 100)",0.597
29,0,"[0, 1, 2, 4]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[], [0, 1, 2, 4]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G0, Q1, 0)",0.53
29,1,"[3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[5], [3, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G1, Q2, 25)",0.53
30,0,"[0, 1, 4]","const(MSEUr, Q3)","dec(DTUr, Q3)","[[1], [0, 4]]","[[1, 2, 3, 5], [0, 4, 6]]","inc(G0, Q2, 25)",0.589
30,1,"[2, 3, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3], [6]]","[[1, 2, 3, 5], [0, 4, 6]]","inc(G1, Q4, 75)",0.589
30,2,[5],"const(MSEUr, Q3)","inc(DTUr, Q4)","[[5], []]","[[1, 2, 3, 5], [0, 4, 6]]","const(G2, Q2, 100)",0.589
31,0,"[0, 1, 4]","const(MSEUr, Q3)","const(DTUr, Q3)","[[0], [1, 4]]","[[0, 5], [1, 2, 3, 4, 6]]","const(G0, Q2, 25)",0.537
