timestep,group,group_members,MSEUr_mean,DTUr_mean,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, MAX)","[[0, 1, 2, 5, 6], [3, 4]]","[[0, 1, 2, 5, 6], [3, 4]]","inc(G0, NaN, 75)",0.754
2,0,"[0, 1, 5]","inc(MSEUr_mean, MAX)","inc(DTUr_mean, MAX)","[[1], [0, 5]]","[[1, 2], [0, 3, 4, 5, 6]]","dec(G0, NaN, 25)",0.515
3,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[0, 5], [1]]","[[0, 3, 5], [1, 2, 4, 6]]","inc(G0, Q2, 75)",0.537
3,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[3], [2, 4, 6]]","[[0, 3, 5], [1, 2, 4, 6]]","const(G1, Q1, 25)",0.537
4,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, MAX)","[[], [0, 1, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","dec(G0, Q1, 0)",0.519
4,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q3)","[[6], [2, 3, 4]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G1, Q1, 25)",0.519
5,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1], [0, 5]]","[[1], [0, 2, 3, 4, 5, 6]]","inc(G0, Q1, 25)",0.52
5,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q3)","[[], [2, 3, 4, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.52
6,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, MAX)","[[1, 5], [0]]","[[1, 5, 6], [0, 2, 3, 4]]","inc(G0, Q3, 75)",0.534
6,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[6], [2, 3, 4]]","[[1, 5, 6], [0, 2, 3, 4]]","inc(G1, Q1, 25)",0.534
7,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, MAX)","[[0, 1], [5]]","[[0, 1, 3, 4, 6], [2, 5]]","const(G0, Q3, 75)",0.606
7,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q3)","[[3, 4, 6], [2]]","[[0, 1, 3, 4, 6], [2, 5]]","inc(G1, Q4, 75)",0.606
8,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, MAX)","[[0], [1, 5]]","[[0, 3, 4, 6], [1, 2, 5]]","dec(G0, Q1, 25)",0.58
8,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[3, 4, 6], [2]]","[[0, 3, 4, 6], [1, 2, 5]]","const(G1, Q4, 75)",0.58
9,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 5], []]","[[0, 1, 5, 6], [2, 3, 4]]","inc(G0, Q4, 100)",0.571
9,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[6], [2, 3, 4]]","[[0, 1, 5, 6], [2, 3, 4]]","dec(G1, Q1, 25)",0.571
10,0,"[0, 1, 3, 5]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[0, 3], [1, 5]]","[[0, 3, 4, 6], [1, 2, 5]]","dec(G0, Q3, 50)",0.569
10,1,"[2, 4, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[4, 6], [2]]","[[0, 3, 4, 6], [1, 2, 5]]","inc(G1, Q3, 75)",0.569
11,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[0, 5], [1]]","[[0, 3, 4, 5], [1, 2, 6]]","const(G0, Q3, 75)",0.578
11,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[3, 4], [2, 6]]","[[0, 3, 4, 5], [1, 2, 6]]","const(G1, Q3, 50)",0.578
12,0,"[0, 1, 5, 6]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[5], [0, 1, 6]]","[[4, 5], [0, 1, 2, 3, 6]]","dec(G0, Q1, 25)",0.515
12,1,"[2, 3, 4]","const(MSEUr_mean, Q2)","dec(DTUr_mean, Q3)","[[4], [2, 3]]","[[4, 5], [0, 1, 2, 3, 6]]","dec(G1, Q1, 25)",0.515
13,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[1, 5, 6], [0, 3]]","[[1, 2, 5, 6], [0, 3, 4]]","inc(G0, Q4, 50)",0.586
13,1,"[2, 4]","const(MSEUr_mean, Q3)","dec(DTUr_mean, Q3)","[[2], [4]]","[[1, 2, 5, 6], [0, 3, 4]]","const(G1, Q1, 50)",0.586
14,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[0, 1], [5]]","[[0, 1, 2, 3, 4, 6], [5]]","dec(G0, Q3, 75)",0.657
14,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[2, 3, 4, 6], []]","[[0, 1, 2, 3, 4, 6], [5]]","inc(G1, Q4, 100)",0.657
