timestep,group,group_members,MSEUr_mean,DTUr_mean,sched_members,sched_members_complete,decision,reward
15,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[3], [0, 1, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","dec(G0, Q1, 25)",0.523
15,1,"[2, 4]","const(MSEUr_mean, Q3)","dec(DTUr_mean, Q3)","[[], [2, 4]]","[[3], [0, 1, 2, 4, 5, 6]]","dec(G1, Q1, 0)",0.523
16,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 3], [1, 5, 6]]","[[0, 2, 3], [1, 4, 5, 6]]","inc(G0, Q3, 50)",0.564
16,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q3)","[[2], [4]]","[[0, 2, 3], [1, 4, 5, 6]]","inc(G1, Q1, 50)",0.564
17,0,"[0, 1, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5], [0, 1, 6]]","[[2, 4, 5], [0, 1, 3, 6]]","dec(G0, Q1, 25)",0.577
17,1,"[2, 3, 4]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[2, 4], [3]]","[[2, 4, 5], [0, 1, 3, 6]]","inc(G1, Q3, 75)",0.577
18,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 3], [1, 5, 6]]","[[0, 2, 3, 4], [1, 5, 6]]","inc(G0, Q3, 50)",0.61
18,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q3)","[[2, 4], []]","[[0, 2, 3, 4], [1, 5, 6]]","const(G1, Q3, 100)",0.61
19,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[6], [0, 1, 3, 5]]","[[2, 6], [0, 1, 3, 4, 5]]","dec(G0, Q1, 25)",0.545
19,1,"[2, 4]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[2], [4]]","[[2, 6], [0, 1, 3, 4, 5]]","dec(G1, Q1, 50)",0.545
20,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 1, 6], [3, 5]]","[[0, 1, 4, 6], [2, 3, 5]]","inc(G0, Q4, 50)",0.613
20,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q4)","[[4], [2]]","[[0, 1, 4, 6], [2, 3, 5]]","const(G1, Q1, 50)",0.613
21,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 6], [1, 3, 5]]","[[0, 4, 6], [1, 2, 3, 5]]","dec(G0, Q3, 50)",0.574
21,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[4], [2]]","[[0, 4, 6], [1, 2, 3, 5]]","const(G1, Q1, 50)",0.574
22,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 6], [1, 3, 5]]","[[0, 4, 6], [1, 2, 3, 5]]","const(G0, Q3, 50)",0.571
22,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[4], [2]]","[[0, 4, 6], [1, 2, 3, 5]]","const(G1, Q2, 50)",0.571
23,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[1, 5], [0, 3, 6]]","[[1, 2, 5], [0, 3, 4, 6]]","const(G0, Q3, 50)",0.578
23,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[2], [4]]","[[1, 2, 5], [0, 3, 4, 6]]","const(G1, Q2, 50)",0.578
24,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 1], [3, 5, 6]]","[[0, 1, 4], [2, 3, 5, 6]]","const(G0, Q3, 50)",0.577
24,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[4], [2]]","[[0, 1, 4], [2, 3, 5, 6]]","const(G1, Q1, 50)",0.577
25,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[5, 6], [0, 1, 3]]","[[4, 5, 6], [0, 1, 2, 3]]","const(G0, Q3, 50)",0.576
25,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q4)","[[4], [2]]","[[4, 5, 6], [0, 1, 2, 3]]","const(G1, Q1, 50)",0.576
26,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 5], [1, 3, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","const(G0, Q3, 50)",0.626
26,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [2, 4]]","[[0, 5], [1, 2, 3, 4, 6]]","dec(G1, Q1, 0)",0.626
27,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[0, 5], [1, 3, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","const(G0, Q3, 50)",0.62
27,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [2, 4]]","[[0, 5], [1, 2, 3, 4, 6]]","const(G1, Q1, 0)",0.62
28,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[0, 1], [3, 5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","const(G0, Q3, 50)",0.608
28,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [2, 4]]","[[0, 1], [2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.608
29,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[5], [0, 1, 3, 6]]","[[4, 5], [0, 1, 2, 3, 6]]","dec(G0, Q2, 25)",0.526
29,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[4], [2]]","[[4, 5], [0, 1, 2, 3, 6]]","inc(G1, Q2, 50)",0.526
30,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[1], [0, 3, 5, 6]]","[[1, 2], [0, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.525
30,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[2], [4]]","[[1, 2], [0, 3, 4, 5, 6]]","const(G1, Q2, 50)",0.525
31,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 3], [1, 5, 6]]","[[0, 3], [1, 2, 4, 5, 6]]","inc(G0, Q4, 50)",0.608
31,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q4)","[[], [2, 4]]","[[0, 3], [1, 2, 4, 5, 6]]","dec(G1, Q1, 0)",0.608
32,0,"[0, 1, 2, 3, 5, 6]","inc(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0], [1, 2, 3, 5, 6]]","[[0, 4], [1, 2, 3, 5, 6]]","dec(G0, Q2, 25)",0.526
32,1,[4],"inc(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[4], []]","[[0, 4], [1, 2, 3, 5, 6]]","inc(G1, Q2, 100)",0.526
33,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","dec(G0, Q1, 0)",0.517
33,1,[4],"const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[4], []]","[[4], [0, 1, 2, 3, 5, 6]]","const(G1, Q2, 100)",0.517
34,0,"[0, 1, 2, 3, 4, 5, 6]","inc(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 5], [1, 2, 3, 4, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","inc(G0, Q4, 25)",0.574
35,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4, 6], [0, 1, 2, 3, 5]]","[[4, 6], [0, 1, 2, 3, 5]]","const(G0, Q4, 25)",0.562
36,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 6], [1, 2, 3, 4, 5]]","[[0, 6], [1, 2, 3, 4, 5]]","const(G0, Q4, 25)",0.559
37,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3], [0, 2, 4, 5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","const(G0, Q4, 25)",0.561
38,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","dec(G0, Q2, 25)",0.503
39,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.505
40,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[6], [0, 1, 2, 3, 4, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G0, Q2, 25)",0.503
41,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.509
42,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.512
43,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 4], [1, 2, 3, 5, 6]]","[[0, 4], [1, 2, 3, 5, 6]]","inc(G0, Q4, 25)",0.574
44,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.511
45,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1], [2, 3, 4, 5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","inc(G0, Q4, 25)",0.577
46,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 4], [2, 3, 5, 6]]","[[0, 1, 4], [2, 3, 5, 6]]","inc(G0, Q4, 50)",0.637
47,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.504
48,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1], [2, 3, 4, 5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","inc(G0, Q3, 25)",0.561
49,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 4], [0, 2, 3, 5, 6]]","[[1, 4], [0, 2, 3, 5, 6]]","const(G0, Q3, 25)",0.555
50,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.493
51,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 6], [3, 4, 5]]","[[0, 1, 2, 6], [3, 4, 5]]","inc(G0, Q4, 50)",0.687
52,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[6], [0, 1, 2, 3, 4, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","dec(G0, Q1, 25)",0.49
53,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 2], [1, 3, 4, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","inc(G0, Q3, 25)",0.559
54,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 5], [0, 1, 3, 4, 6]]","[[2, 5], [0, 1, 3, 4, 6]]","const(G0, Q3, 25)",0.565
55,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 2], [0, 3, 4, 5, 6]]","[[1, 2], [0, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.558
56,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 2], [0, 3, 4, 5, 6]]","[[1, 2], [0, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.56
57,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","dec(G0, Q1, 25)",0.502
58,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.504
59,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q2, 25)",0.507
60,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 3], [0, 1, 4, 5, 6]]","[[2, 3], [0, 1, 4, 5, 6]]","inc(G0, Q4, 25)",0.565
61,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[6], [0, 1, 2, 3, 4, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","dec(G0, Q2, 25)",0.508
62,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 3], [2, 4, 5, 6]]","[[0, 1, 3], [2, 4, 5, 6]]","inc(G0, Q4, 50)",0.641
63,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 5, 6], [0, 1, 3, 4]]","[[2, 5, 6], [0, 1, 3, 4]]","const(G0, Q4, 50)",0.64
64,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5, 6], [0, 1, 2, 3, 4]]","[[5, 6], [0, 1, 2, 3, 4]]","dec(G0, Q3, 25)",0.582
65,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 3], [1, 2, 4, 5, 6]]","[[0, 3], [1, 2, 4, 5, 6]]","const(G0, Q3, 25)",0.583
66,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 5], [0, 2, 4, 6]]","[[1, 3, 5], [0, 2, 4, 6]]","inc(G0, Q4, 50)",0.653
67,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 4], [0, 2, 3, 5, 6]]","[[1, 4], [0, 2, 3, 5, 6]]","dec(G0, Q3, 25)",0.579
68,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 2], [1, 3, 4, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.58
69,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 3, 6], [1, 2, 4, 5]]","[[0, 3, 6], [1, 2, 4, 5]]","inc(G0, Q4, 50)",0.644
70,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 4], [0, 2, 3, 5, 6]]","[[1, 4], [0, 2, 3, 5, 6]]","dec(G0, Q3, 25)",0.578
71,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5], [0, 1, 2, 3, 4, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G0, Q1, 25)",0.523
72,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5, 6], [0, 1, 2, 3, 4]]","[[5, 6], [0, 1, 2, 3, 4]]","inc(G0, Q3, 25)",0.582
73,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 6], [2, 3, 4, 5]]","[[0, 1, 6], [2, 3, 4, 5]]","inc(G0, Q4, 50)",0.645
74,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3], [0, 2, 4, 5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","dec(G0, Q3, 25)",0.579
75,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 4], [1, 2, 3, 5, 6]]","[[0, 4], [1, 2, 3, 5, 6]]","const(G0, Q3, 25)",0.584
76,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 2], [0, 3, 4, 5, 6]]","[[1, 2], [0, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.574
77,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4, 5, 6], [0, 1, 2, 3]]","[[4, 5, 6], [0, 1, 2, 3]]","inc(G0, Q4, 50)",0.649
78,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","dec(G0, Q1, 25)",0.523
79,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3, 4, 5, 6], [0, 1, 2]]","[[3, 4, 5, 6], [0, 1, 2]]","inc(G0, Q4, 50)",0.719
80,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 2, 3, 6], [0, 4, 5]]","[[1, 2, 3, 6], [0, 4, 5]]","const(G0, Q4, 50)",0.706
81,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.524
82,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 4], [0, 1, 3, 5, 6]]","[[2, 4], [0, 1, 3, 5, 6]]","inc(G0, Q3, 25)",0.587
83,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.53
84,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 6], [4, 5]]","[[0, 1, 2, 3, 6], [4, 5]]","inc(G0, Q4, 75)",0.778
85,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 4, 6], [1, 2, 3, 5]]","[[0, 4, 6], [1, 2, 3, 5]]","dec(G0, Q4, 50)",0.653
86,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3, 5, 6], [0, 1, 2, 4]]","[[3, 5, 6], [0, 1, 2, 4]]","const(G0, Q4, 50)",0.645
87,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3, 6], [0, 1, 2, 4, 5]]","[[3, 6], [0, 1, 2, 4, 5]]","dec(G0, Q3, 25)",0.575
88,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 5], [0, 2, 3, 4, 6]]","[[1, 5], [0, 2, 3, 4, 6]]","const(G0, Q3, 25)",0.587
89,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.524
90,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 4, 5], [0, 1, 3, 6]]","[[2, 4, 5], [0, 1, 3, 6]]","inc(G0, Q4, 50)",0.657
91,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.532
