timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
176,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 4, 5, 6], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","inc(G0, Q4, 75)",0.876
177,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","inc(G0, MAX, 100)",0.956
178,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","const(G0, MAX, 100)",0.958
179,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3], [0, 4, 5, 6]]","[[1, 2, 3], [0, 4, 5, 6]]","dec(G0, Q2, 50)",0.652
180,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2], [1, 3, 4, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.591
181,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 6], [0, 1, 2, 4, 5]]","[[3, 6], [0, 1, 2, 4, 5]]","const(G0, Q1, 25)",0.59
182,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","inc(G0, MAX, 100)",0.941
183,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","const(G0, MAX, 100)",0.955
184,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","const(G0, MAX, 100)",0.96
185,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 4, 6], [0, 3, 5]]","[[1, 2, 4, 6], [0, 3, 5]]","dec(G0, Q3, 50)",0.733
186,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","inc(G0, MAX, 100)",0.963
187,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 6], [2, 3, 4, 5]]","[[0, 1, 6], [2, 3, 4, 5]]","dec(G0, Q2, 50)",0.661
