timestep,kpi,q0,q1,q2,q3,q4
2,tx_brate,0.005,0.005,0.0075,0.06,0.675
2,tx_pckts,4.0,4.75,6.25,13.0,77.5
2,dl_buffer,0.0,0.0,0.0,0.0,10707.5
3,tx_brate,0.005,0.022615740740740742,0.11616898148148147,0.3020833333333333,1.355
3,tx_pckts,4.0,8.349537037037036,24.39699074074074,53.041666666666664,233.0
3,dl_buffer,0.0,0.0,0.0,0.0,46982.25
4,tx_brate,0.005,0.022615740740740742,0.17206249999999998,0.3020833333333333,1.355
4,tx_pckts,4.0,8.349537037037036,33.33541666666667,53.041666666666664,233.0
4,dl_buffer,0.0,0.0,0.0,0.0,93838.5
5,tx_brate,0.005,0.05602824074074074,0.2212735185185185,0.45952537037037033,1.4
5,tx_pckts,4.0,14.216620370370368,49.32319444444444,78.52176851851851,233.0
5,dl_buffer,0.0,0.0,0.0,9383.85,93838.5
6,tx_brate,0.005,0.08105747530864198,0.2212735185185185,0.45952537037037033,1.4
6,tx_pckts,4.0,19.43004783950617,49.32319444444444,78.52176851851851,233.0
6,dl_buffer,0.0,0.0,0.0,9383.85,93838.5
7,tx_brate,0.005,0.10326453567865605,0.22546210965474853,0.45952537037037033,1.4
7,tx_pckts,4.0,23.475258688071186,43.51937803882074,78.52176851851851,233.0
7,dl_buffer,0.0,0.0,446.85,9383.85,93838.5
8,tx_brate,0.005,0.10326453567865605,0.22546210965474853,0.45952537037037033,1.4
8,tx_pckts,4.0,23.475258688071186,48.52360620522504,78.52176851851851,233.0
8,dl_buffer,0.0,0.0,446.85,9383.85,93838.5
9,tx_brate,0.005,0.12330654564726956,0.22348036174382216,0.5470519209309818,1.4
9,tx_pckts,4.0,27.21195223667501,43.52228300417757,92.55574414138225,233.0
9,dl_buffer,0.0,0.0,335.13750000000005,16310.025,93838.5
10,tx_brate,0.005,0.13942628795724324,0.22348036174382216,0.5470519209309818,1.4
10,tx_pckts,4.0,30.252127852380976,47.69272058790258,92.55574414138225,233.0
10,dl_buffer,0.0,0.0,335.13750000000005,16310.025,93838.5
11,tx_brate,0.005,0.1548272933448922,0.22416044023508375,0.5470519209309818,1.4
11,tx_pckts,4.0,33.058316675829296,43.675196465951544,92.55574414138225,233.0
11,dl_buffer,0.0,0.0,223.425,16310.025,93838.5
12,tx_brate,0.005,0.1548272933448922,0.22416044023508375,0.5470519209309818,1.4
12,tx_pckts,4.0,33.058316675829296,47.17504514039584,92.55574414138225,233.0
12,dl_buffer,0.0,0.0,223.425,16310.025,93838.5
13,tx_brate,0.005,0.16765815652345753,0.22416044023508375,0.6098800424279263,1.4
13,tx_pckts,4.0,35.58029789129695,43.65746868089174,102.41425062187479,233.0
13,dl_buffer,0.0,0.0,167.56875000000002,21191.86125,93838.5
