timestep,slice_id,prb_decision,sched_decision,tx_brate,tx_pckts,dl_buffer
2,0,"const(prb, C4)",const(sched),"inc(tx_brate, NaN)","inc(tx_pckts, NaN)","dec(dl_buffer, NaN)"
2,2,"const(prb, C1)",const(sched),"inc(tx_brate, NaN)","inc(tx_pckts, NaN)","dec(dl_buffer, NaN)"
3,0,"const(prb, C4)",const(sched),"const(tx_brate, Q4)","dec(tx_pckts, Q4)","inc(dl_buffer, Q4)"
3,2,"const(prb, C1)",toPF(sched),"dec(tx_brate, Q2)","dec(tx_pckts, Q3)","const(dl_buffer, Q1)"
4,0,"const(prb, C4)",const(sched),"const(tx_brate, Q4)","inc(tx_pckts, Q4)","inc(dl_buffer, Q4)"
4,2,"const(prb, C1)",toRR(sched),"inc(tx_brate, Q2)","inc(tx_pckts, Q2)","const(dl_buffer, Q1)"
5,0,"const(prb, C4)",const(sched),"const(tx_brate, Q3)","const(tx_pckts, Q4)","dec(dl_buffer, Q3)"
5,2,"const(prb, C1)",const(sched),"const(tx_brate, Q2)","const(tx_pckts, Q2)","const(dl_buffer, Q1)"
6,0,"const(prb, C4)",const(sched),"const(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q2)"
6,2,"const(prb, C1)",const(sched),"inc(tx_brate, Q2)","inc(tx_pckts, Q2)","inc(dl_buffer, Q2)"
7,0,"const(prb, C4)",const(sched),"const(tx_brate, Q3)","const(tx_pckts, Q4)","dec(dl_buffer, Q1)"
7,2,"const(prb, C1)",const(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q2)","inc(dl_buffer, Q3)"
8,0,"const(prb, C4)",const(sched),"const(tx_brate, Q3)","const(tx_pckts, Q4)","inc(dl_buffer, Q3)"
8,2,"const(prb, C1)",const(sched),"inc(tx_brate, Q2)","inc(tx_pckts, Q2)","dec(dl_buffer, Q1)"
9,0,"const(prb, C4)",const(sched),"const(tx_brate, Q4)","const(tx_pckts, Q4)","inc(dl_buffer, Q3)"
9,2,"const(prb, C1)",toPF(sched),"dec(tx_brate, Q2)","const(tx_pckts, Q2)","inc(dl_buffer, Q2)"
10,0,"const(prb, C4)",const(sched),"const(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q3)"
10,2,"const(prb, C1)",toRR(sched),"inc(tx_brate, Q2)","const(tx_pckts, Q2)","dec(dl_buffer, Q1)"
11,0,"const(prb, C4)",const(sched),"const(tx_brate, Q4)","const(tx_pckts, Q4)","inc(dl_buffer, Q4)"
