timestep,kpi,q0,q1,q2,q3,q4
2,tx_brate,0.0,0.0,0.005,0.005,0.0075
2,tx_pckts,2.0,3.5,4.0,4.25,4.5
2,dl_buffer,0.0,0.0,0.0,0.0,0.0
3,tx_brate,0.0,0.012812500000000003,0.07687500000000001,0.42125,2.5025
3,tx_pckts,2.0,3.5,7.0,20.5,101.0
3,dl_buffer,0.0,0.0,0.0,0.0,416.25
4,tx_brate,0.0,0.012812500000000003,0.07687500000000001,0.42125,4.1725
4,tx_pckts,2.0,3.5,10.4,20.5,181.75
4,dl_buffer,0.0,0.0,0.0,0.0,416.25
5,tx_brate,0.0,0.028187500000000004,0.1300275,0.956596875,4.1725
5,tx_pckts,2.0,5.180000000000001,13.464,42.41525,181.75
5,dl_buffer,0.0,0.0,0.0,41.625,416.25
6,tx_brate,0.0,0.043069416666666666,0.1300275,0.956596875,4.1725
6,tx_pckts,2.0,6.538400000000001,13.464,42.41525,181.75
6,dl_buffer,0.0,0.0,0.0,41.625,416.25
7,tx_brate,0.0,0.054589147727272726,0.11745444128787878,0.956596875,4.1725
7,tx_pckts,2.0,8.01502638888889,17.450316666666666,42.41525,181.75
7,dl_buffer,0.0,0.0,0.0,41.625,416.25
8,tx_brate,0.0,0.054589147727272726,0.11745444128787878,0.956596875,4.1725
8,tx_pckts,2.0,8.01502638888889,17.450316666666666,42.41525,182.0
8,dl_buffer,0.0,0.0,0.0,41.625,416.25
9,tx_brate,0.0,0.06453844061147186,0.10989501261982065,1.2702184844426407,4.1725
9,tx_pckts,2.0,9.419600631313132,16.916176037389587,54.58212217024138,182.0
9,dl_buffer,0.0,0.0,0.0,41.625,416.25
10,tx_brate,0.0,0.06453844061147186,0.10989501261982065,1.2702184844426407,4.1725
10,tx_pckts,2.0,10.506436646802339,16.916176037389587,54.58212217024138,183.75
10,dl_buffer,0.0,0.0,0.0,16.958333333333332,416.25
11,tx_brate,0.0,0.06453844061147186,0.10614947656343562,1.2702184844426407,4.1725
11,tx_pckts,2.0,11.63337917695792,19.85455507228552,54.58212217024138,183.75
11,dl_buffer,0.0,0.0,0.0,16.958333333333332,416.25
12,tx_brate,0.0,0.06453844061147186,0.10614947656343562,1.2702184844426407,4.1725
12,tx_pckts,2.0,11.63337917695792,19.85455507228552,54.58212217024138,183.75
12,dl_buffer,0.0,0.0,0.0,16.958333333333332,416.25
13,tx_brate,0.0,0.06453844061147186,0.1023666551132571,1.488086873212959,4.1725
13,tx_pckts,2.0,11.63337917695792,19.85455507228552,63.21098900535155,183.75
13,dl_buffer,0.0,0.0,0.0,16.958333333333332,416.25
14,tx_brate,0.0,0.06453844061147186,0.1023666551132571,1.488086873212959,4.1725
14,tx_pckts,2.0,12.54225672243512,19.85455507228552,63.21098900535155,183.75
14,dl_buffer,0.0,0.0,0.0,16.958333333333332,416.25
15,tx_brate,0.0,0.06453844061147186,0.09985738937576903,1.488086873212959,4.1725
15,tx_pckts,2.0,12.54225672243512,22.267351847662493,63.21098900535155,183.75
15,dl_buffer,0.0,0.0,0.0,5.8583333333333325,416.25
16,tx_brate,0.0,0.06453844061147186,0.09985738937576903,1.488086873212959,4.1725
16,tx_pckts,2.0,12.54225672243512,22.267351847662493,63.21098900535155,183.75
16,dl_buffer,0.0,0.0,0.0,5.8583333333333325,416.25
17,tx_brate,0.0,0.06453844061147186,0.09826747570187075,1.6516215352866321,4.1725
17,tx_pckts,2.0,12.54225672243512,19.98071494739603,69.70817922909663,183.75
17,dl_buffer,0.0,0.0,0.0,15.389560439560437,416.25
18,tx_brate,0.0,0.06453844061147186,0.09826747570187075,1.6516215352866321,4.1725
18,tx_pckts,2.0,12.54225672243512,22.066631573972995,69.70817922909663,183.75
18,dl_buffer,0.0,0.0,0.0,15.389560439560437,563.5
19,tx_brate,0.0,0.06453844061147186,0.09648108326731276,1.6516215352866321,4.1725
19,tx_pckts,2.0,12.54225672243512,22.044899308958414,69.70817922909663,183.75
19,dl_buffer,0.0,0.0,0.0,5.630645956607493,563.5
20,tx_brate,0.0,0.06453844061147186,0.09648108326731276,1.6516215352866321,4.1725
20,tx_pckts,2.0,12.54225672243512,22.044899308958414,69.70817922909663,183.75
20,dl_buffer,0.0,0.0,0.0,5.630645956607493,819.5
21,tx_brate,0.0,0.06786537451724127,0.09573452904091809,1.783989279116549,4.1725
21,tx_pckts,2.0,13.233460146881962,22.00290871099006,74.90469597868218,183.75
21,dl_buffer,0.0,0.0,0.0,16.45455420981262,819.5
22,tx_brate,0.0,0.0649403622728077,0.09573452904091809,1.783989279116549,4.1725
22,tx_pckts,2.0,12.610749308072027,22.00290871099006,74.90469597868218,186.25
22,dl_buffer,0.0,0.0,0.0,16.45455420981262,819.5
23,tx_brate,0.0,0.0649403622728077,0.09439444235832103,1.783989279116549,4.1725
23,tx_pckts,2.0,12.610749308072027,23.89060406464491,74.90469597868218,186.25
23,dl_buffer,0.0,0.0,0.0,16.45455420981262,819.5
24,tx_brate,0.0,0.0649403622728077,0.09439444235832103,1.783989279116549,4.1725
24,tx_pckts,2.0,12.610749308072027,23.89060406464491,74.90469597868218,186.25
24,dl_buffer,0.0,0.0,0.0,16.45455420981262,819.5
25,tx_brate,0.0,0.0676373463401883,0.09288085903589827,1.8950964776414108,4.1725
