timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,1.98,82.0,733.0
1,1,0.12,26.0,0.0
1,2,0.18,30.0,0.0
2,0,2.15,89.5,366.5
2,1,0.17,32.5,0.0
2,2,0.24,41.0,79.0
3,0,2.2199999999999998,89.5,0.0
3,1,0.195,38.0,0.0
3,2,0.23,43.0,0.0
4,0,2.21,89.0,0.0
4,1,0.14500000000000002,27.0,0.0
4,2,0.245,45.5,0.0
5,0,2.215,102.0,366.5
5,1,0.175,34.0,0.0
5,2,0.24,46.5,0.0
6,0,2.2199999999999998,89.5,366.5
6,1,0.14,27.0,0.0
6,2,0.195,34.5,79.0
7,0,2.2199999999999998,88.5,0.0
7,1,0.215,41.5,0.0
7,2,0.23,40.0,0.0
8,0,2.21,89.0,0.0
8,1,0.135,26.0,0.0
8,2,0.26,44.0,0.0
9,0,2.215,98.5,366.5
9,1,0.20500000000000002,39.0,0.0
9,2,0.225,40.5,0.0
10,0,2.2199999999999998,89.5,0.0
10,1,0.18,34.0,0.0
10,2,0.225,42.0,0.0
11,0,2.21,98.0,0.0
11,1,0.18,35.5,0.0
11,2,0.23,40.0,0.0
12,0,2.2199999999999998,89.5,366.5
12,1,0.185,35.5,0.0
12,2,0.225,39.0,79.0
13,0,2.2199999999999998,89.5,366.5
13,1,0.15,28.5,0.0
13,2,0.22999999999999998,40.5,0.0
14,0,2.2199999999999998,89.5,0.0
14,1,0.16499999999999998,32.0,0.0
14,2,0.22,42.0,0.0
15,0,1.725,69.5,0.0
15,1,0.13,25.5,0.0
15,2,0.175,32.0,0.0
16,0,2.23,101.0,0.0
16,1,0.175,33.5,0.0
16,2,0.22999999999999998,42.5,0.0
17,0,2.215,102.5,0.0
17,1,0.185,35.0,0.0
17,2,0.20500000000000002,36.5,0.0
18,0,2.21,89.0,0.0
18,1,0.185,35.5,0.0
18,2,0.185,34.0,0.0
19,0,2.2199999999999998,89.5,366.5
19,1,0.16,31.5,0.0
19,2,0.21000000000000002,38.0,0.0
20,0,2.2199999999999998,89.5,0.0
20,1,0.20500000000000002,39.0,79.0
20,2,0.215,39.5,0.0
21,0,2.2199999999999998,89.5,0.0
