timestep,slice_id,tx_brate,tx_pckts,dl_buffer
1,0,0.0,1.5,0.0
1,1,0.0,2.0,0.0
1,2,0.005,4.5,0.0
2,0,0.0,5.0,0.0
2,1,0.0,2.0,0.0
2,2,0.005,4.0,0.0
3,0,0.0033333333333333335,3.0,0.0
3,1,0.0,1.0,0.0
3,2,0.0,1.5,0.0
4,0,0.13,5.5,366.5
4,1,0.02,2.0,0.0
4,2,0.02,2.0,0.0
5,0,2.13,184.5,211.75
5,1,0.16999999999999998,33.0,79.0
5,2,0.22,40.5,0.0
6,0,2.14,181.25,74.75
6,1,0.185,36.0,0.0
6,2,0.225,40.5,79.0
7,0,2.135,156.25,224.0
7,1,0.14,25.5,79.0
7,2,0.23500000000000001,43.0,0.0
8,0,2.1425,91.0,183.25
8,1,0.165,30.5,0.0
8,2,0.265,47.0,0.0
9,0,2.145,89.5,366.5
9,1,0.14500000000000002,27.5,79.0
9,2,0.28500000000000003,49.5,0.0
10,0,2.1975,92.25,183.25
10,1,0.21,42.0,0.0
10,2,0.22,36.5,0.0
11,0,2.14,89.5,0.0
11,1,0.22,39.0,0.0
11,2,0.24,42.0,0.0
12,0,2.14,174.25,188.5
12,1,0.15000000000000002,27.5,0.0
12,2,0.24,42.0,0.0
13,0,2.1475,117.5,366.5
13,1,0.18,31.5,0.0
13,2,0.25,45.5,0.0
14,0,2.1425,100.25,183.25
14,1,0.19,36.5,0.0
14,2,0.21000000000000002,37.5,79.0
15,0,2.13,89.5,183.25
15,1,0.17,30.0,0.0
15,2,0.22,40.0,0.0
16,0,2.1375,89.25,183.25
16,1,0.19,33.5,79.0
16,2,0.25,44.0,0.0
17,0,2.145,99.5,5.25
17,1,0.185,36.0,0.0
17,2,0.22499999999999998,41.0,0.0
18,0,2.1375,89.75,0.0
18,1,0.16,30.0,0.0
18,2,0.24,42.5,79.0
19,0,2.15,165.5,206.5
19,1,0.17,31.0,0.0
19,2,0.20500000000000002,36.0,0.0
20,0,2.1375,95.25,366.5
20,1,0.16999999999999998,32.5,0.0
20,2,0.24,42.0,0.0
21,0,1.65,223.75,22454.0
21,1,0.185,33.0,0.0
21,2,0.24,39.5,0.0
22,0,3.1375,196.5,46.5
22,1,0.16999999999999998,30.0,0.0
22,2,0.20500000000000002,37.0,0.0
