timestep,decision,prb_decision,policy_decision
467,"(36, 9, 5, 2, 0, 1)","[36, 9, 5]","[2, 0, 1]"
468,"(30, 9, 11, 2, 2, 0)","[30, 9, 11]","[2, 2, 0]"
469,"(12, 15, 23, 0, 2, 1)","[12, 15, 23]","[0, 2, 1]"
470,"(24, 15, 11, 2, 2, 0)","[24, 15, 11]","[2, 2, 0]"
471,"(30, 15, 5, 2, 0, 2)","[30, 15, 5]","[2, 0, 2]"
472,"(30, 9, 11, 2, 0, 2)","[30, 9, 11]","[2, 0, 2]"
473,"(30, 15, 5, 1, 1, 2)","[30, 15, 5]","[1, 1, 2]"
474,"(30, 15, 5, 2, 1, 0)","[30, 15, 5]","[2, 1, 0]"
475,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
476,"(36, 9, 5, 1, 0, 2)","[36, 9, 5]","[1, 0, 2]"
477,"(12, 15, 23, 1, 1, 1)","[12, 15, 23]","[1, 1, 1]"
478,"(36, 9, 5, 0, 1, 0)","[36, 9, 5]","[0, 1, 0]"
479,"(30, 15, 5, 0, 2, 0)","[30, 15, 5]","[0, 2, 0]"
480,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
481,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
482,"(30, 15, 5, 2, 1, 1)","[30, 15, 5]","[2, 1, 1]"
483,"(18, 15, 17, 1, 1, 2)","[18, 15, 17]","[1, 1, 2]"
484,"(36, 9, 5, 0, 1, 1)","[36, 9, 5]","[0, 1, 1]"
485,"(24, 21, 5, 1, 1, 2)","[24, 21, 5]","[1, 1, 2]"
486,"(36, 9, 5, 0, 2, 0)","[36, 9, 5]","[0, 2, 0]"
487,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
488,"(30, 9, 11, 2, 1, 0)","[30, 9, 11]","[2, 1, 0]"
489,"(30, 9, 11, 0, 2, 1)","[30, 9, 11]","[0, 2, 1]"
490,"(30, 9, 11, 2, 1, 2)","[30, 9, 11]","[2, 1, 2]"
491,"(30, 15, 5, 0, 1, 0)","[30, 15, 5]","[0, 1, 0]"
492,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
493,"(24, 21, 5, 0, 2, 2)","[24, 21, 5]","[0, 2, 2]"
494,"(36, 9, 5, 1, 0, 0)","[36, 9, 5]","[1, 0, 0]"
495,"(18, 9, 23, 0, 2, 2)","[18, 9, 23]","[0, 2, 2]"
496,"(24, 21, 5, 1, 0, 0)","[24, 21, 5]","[1, 0, 0]"
497,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
498,"(24, 21, 5, 2, 1, 2)","[24, 21, 5]","[2, 1, 2]"
499,"(30, 9, 11, 2, 1, 0)","[30, 9, 11]","[2, 1, 0]"
500,"(30, 15, 5, 0, 1, 2)","[30, 15, 5]","[0, 1, 2]"
501,"(12, 15, 23, 2, 0, 0)","[12, 15, 23]","[2, 0, 0]"
502,"(30, 9, 11, 0, 1, 2)","[30, 9, 11]","[0, 1, 2]"
503,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
504,"(18, 9, 23, 2, 1, 1)","[18, 9, 23]","[2, 1, 1]"
505,"(36, 9, 5, 2, 0, 1)","[36, 9, 5]","[2, 0, 1]"
